+                       rizz
-                       fanum tax
<                       beta
==                      twin
>                       sigma
<=                      beta twin
>=                      sigma twin
False                   Cooked
None                    NPC
True                    Aura
as                      ahh
assert                  sus
break                   just put the fries in the bag bro
class                   skibidi
close                   emure
continue                edge
def                     bop
del                     delulu
for                     mewing
from                    lock in
global                  GOAT
if/elif/else            chat is this real/yo chat/only in ohio
import                  glaze
in                      diddy
nonlocal                motion
open                    mog
pass                    pluh
print                   yap
raise                   crashout
range                   huzz
return                  its giving
self                    unc
try/except/finally      hawk/tuah/spit on that thang
while                   let him cook
with                    pookie
yield                   pause
yield from              pause no diddy
